tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Computer Science,1484,University of Toronto - St. George Campus,Bahar,,Aameri,1982478,15,good,TEACHER,PROFESSOR,4.5
Electrical Engineering,1484,University of Toronto - St. George Campus,Parham,,Aarabi,46096,123,good,TEACHER,PROFESSOR,4.3
Classics,1484,University of Toronto - St. George Campus,John Elmer,,Abad,1321299,2,good,TEACHER,PROFESSOR,3.8
Chemistry,1484,University of Toronto - St. George Campus,Jon,,Abbatt,799938,11,good,TEACHER,PROFESSOR,3.9
Social Work,1484,University of Toronto - St. George Campus,Rida,,Abboud,1521594,1,good,TEACHER,PROFESSOR,3.5
Electrical Engineering,1484,University of Toronto - St. George Campus,Tarek,,Abdelrahman,43219,63,good,TEACHER,PROFESSOR,4.8
Civil Engineering,1484,University of Toronto - St. George Campus,Baher,,Abdulhai,167860,12,good,TEACHER,PROFESSOR,4.2
Criminal Justice,1484,University of Toronto - St. George Campus,Samantha,,Abey,2505226,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1484,University of Toronto - St. George Campus,Oswal,,Abhishek,2499193,0,zero,TEACHER,PROFESSOR,N/A
Geography,1484,University of Toronto - St. George Campus,Christian,,Abizaid,1667728,7,good,TEACHER,PROFESSOR,3.9
Botany,1484,University of Toronto - St. George Campus,Mounir,,AbouHaidar,32693,81,good,TEACHER,PROFESSOR,3.8
Physics,1484,University of Toronto - St. George Campus,Roberto,,Abraham,181152,39,good,TEACHER,PROFESSOR,4.7
History,1484,University of Toronto - St. George Campus,Jane,,Abray,101620,22,good,TEACHER,PROFESSOR,4.6
Sociology,1484,University of Toronto - St. George Campus,Yogendra,,Acharya,1442284,3,poor,TEACHER,PROFESSOR,1.7
Ethnic Studies,1484,University of Toronto - St. George Campus,Pushpa,Raj,Acharya,2506151,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1484,University of Toronto - St. George Campus,Vera,,Achvarina,1571911,2,good,TEACHER,PROFESSOR,4.8
Management,1484,University of Toronto - St. George Campus,Atif,,Acikgoz,2413906,8,poor,TEACHER,PROFESSOR,2.3
Literature,1484,University of Toronto - St. George Campus,Alan,,Ackerman,19093,79,poor,TEACHER,PROFESSOR,2.5
Engineering,1484,University of Toronto - St. George Campus,Edgar,,Acosta,1159224,9,poor,TEACHER,PROFESSOR,2.3
Theology,1484,University of Toronto - St. George Campus,Joseph Chandrakanthan,,Adaigalamuthu,998262,3,good,TEACHER,PROFESSOR,5.0
Civil Engineering,1484,University of Toronto - St. George Campus,Barry,,Adams,205041,9,average,TEACHER,PROFESSOR,3.4
Not Specified,1484,University of Toronto - St. George Campus,LI,,Adfdf,1592761,0,zero,TEACHER,PROFESSOR,N/A
Chemical Engineering,1484,University of Toronto - St. George Campus,Kamal,,Adham,2246332,3,good,TEACHER,PROFESSOR,5.0
Political Science,1484,University of Toronto - St. George Campus,Naomi,,Adiv,2570078,2,poor,TEACHER,PROFESSOR,1.5
Not Specified,1484,University of Toronto - St. George Campus,Paul,,Adjei,990449,5,good,TEACHER,PROFESSOR,4.8
Writing,1484,University of Toronto - St. George Campus,Daniel,,Adleman,2322924,2,good,TEACHER,PROFESSOR,5.0
Political Science,1484,University of Toronto - St. George Campus,Emanuel,,Adler,94426,10,average,TEACHER,PROFESSOR,3.3
Computer Science,1484,University of Toronto - St. George Campus,Elias,,Adum,2556030,0,zero,TEACHER,PROFESSOR,N/A
Electrical Engineering,1484,University of Toronto - St. George Campus,Ravi,,Adve,29000,34,good,TEACHER,PROFESSOR,4.1
Electrical Engineering,1484,University of Toronto - St. George Campus,Raviraj,,Adve,2270558,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1484,University of Toronto - St. George Campus,Samantha,,Aeby,2494751,0,zero,TEACHER,PROFESSOR,N/A
Science,1484,University of Toronto - St. George Campus,Anurag,,Agrawal,33488,47,good,TEACHER,PROFESSOR,3.7
Business,1484,University of Toronto - St. George Campus,Ajay,,Agrawal,356968,20,good,TEACHER,PROFESSOR,4.3
Zoology,1484,University of Toronto - St. George Campus,Aneil,,Agrawal,629899,10,good,TEACHER,PROFESSOR,3.8
Medicine,1484,University of Toronto - St. George Campus,Anne,,Agur,1831098,3,average,TEACHER,PROFESSOR,2.5
Business,1484,University of Toronto - St. George Campus,Anwar,,Ahmed,186947,13,poor,TEACHER,PROFESSOR,1.6
Political Science,1484,University of Toronto - St. George Campus,Khalid,,Ahmed,2091646,5,good,TEACHER,PROFESSOR,4.6
Religion,1484,University of Toronto - St. George Campus,Juhn,,Ahn,985612,3,average,TEACHER,PROFESSOR,2.8
Education,1484,University of Toronto - St. George Campus,Marion,,Ahrens,1267895,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,1484,University of Toronto - St. George Campus,Donald,,Ainslie,43751,20,good,TEACHER,PROFESSOR,3.6
Theology,1484,University of Toronto - St. George Campus,Phyllis,,Airhart,376823,5,good,TEACHER,PROFESSOR,4.0
