attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,32846475,0,,good,4,HIS230,"I appreciated how she'd produced summary sheets for each class. Lectures were abit disorganized but her detailed explanations made it easier to understand the material. Countless short assignments and the papers requiring additional research, made this pretty time consuming for a second year course. I enjoyed her class :) highly recommend!",01/17/2020,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1579292161000,Yes,1484,Yes,,B+,"['Accessible outside class', 'Gives good feedback', 'Clear grading criteria']",people,people
Mandatory,average,good,average,1,31249165,0,,poor,2,HIS294,"Professor Newton is very knowledgeable in her field and understands the subject extremely well. Unfortunately, she is very disorganized and that made the course not very enjoyable for me. Her grading criteria is not clear at all and she is a very tough marker. She can also be pretty condescending at times.",01/12/2019,5.0,5.0,,2,N/A,2.0,2.0,1,Yes,1547326212000,No,1484,Yes,,N/A,"['Get ready to read', 'Tough grader', 'Lots of homework']",people,person
Mandatory,good,average,good,0,29638927,1,,awesome,5,HIS359,"Very knowledgeable, took three courses with Professor Newton during my time at U of T. Each one was very enjoyable and intriguing. Learn a lot through these courses. Would defiantly recommend students to look for courses instructed by her.",03/09/2018,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1520613850000,Yes,1484,Yes,,N/A,['Amazing lectures'],person,people
Mandatory,good,good,good,0,28442719,0,,good,4,HIS231,Prof Newton is a tough but fair teacher who really cares about the subject material. She's very knowledgeable and is really willing to work with students to accommodate their needs. She doesn't give a final but that means you're working the entire semester on various assignments,06/11/2017,4.0,4.0,,4,N/A,4.0,4.0,1,Yes,1497170605000,Yes,1484,Yes,,N/A,"['Amazing lectures', 'Get ready to read', 'Tough grader']",people,people
Not Mandatory,average,average,average,1,28092034,1,,poor,2,HIS101,lectures are all over the place. if u compare her lecture outline to that of the other professor in this course (Meyerson) u would see how terrible it is its a complete mess. her lectures overall are engaging but its tough to sit through because of the fact that her outline is difficult to follow,04/20/2017,3.0,3.0,,2,N/A,2.0,2.0,1,No,1492712669000,No,1484,Yes,,N/A,"['Lecture heavy', 'Get ready to read']",person,person
Not Mandatory,good,good,good,0,27999674,0,,awesome,5,HIS101Y1,"Professor Newton's lectures were incredibly engaging and well-organized. I would recommend her. For those who say she has an attitude, she does not; she merely calls people out for rude behaviour, like talking during lectures or rustling around before class is over. Have some respect, you are in a world-class institution!",04/05/2017,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1491399743000,Yes,1484,Yes,,A,"['Clear grading criteria', 'Get ready to read', 'Amazing lectures']",people,people
Not Mandatory,average,average,average,0,27772437,1,,average,3,HIS101,"Many other ratings say that she is egotistical but this has not come across in my course (perhaps because she isn't the only lecturer). Seems passionate about history and knowledgeable, and does not steal the spotlight from the other lecturer. She isn't amazing and she isn't bad. Definitely need to read the texts in HIS101 to understand, though.",01/24/2017,2.0,2.0,,3,N/A,3.0,3.0,1,Yes,1485295505000,Yes,1484,Yes,,A,"['Lots of homework', 'Amazing lectures', 'Group projects']",person,people
Mandatory,good,average,good,1,26738934,3,,awesome,5,HIST474,"most amazing professor - uoft honestly doesnt even deserve this level of brilliance being in her presence is enough to make this class worth it so lucky to have someone who knows so much and teaches in a way that really gives context, tough to keep up but its worth it if you do!",06/19/2016,3.0,3.0,,5,N/A,5.0,5.0,1,No,1466342810000,Yes,1484,Yes,,N/A,"['Caring', 'Gives good feedback', 'Inspirational']",people,person
N/A,average,average,average,8,22440788,1,,good,3,CARIBBEANHIST,"She knows her stuff, but she's incredibly condescending. Talks down to you as if you're a small child.",12/05/2013,3.0,3.0,,4,It's my life,3.5,3.5,1,Yes,1386226939000,N/A,1484,N/A,,N/A,[],person,people
N/A,average,good,average,7,17439946,0,,average,3,HIS294,"she's smart without a doubt, but her lecture are incredibly boring; she's very monotoned. the handouts are helpful to a certain degree.honestly, the TAs are so much better!",07/21/2010,4.0,4.0,,3,Low,3.0,3.0,1,Yes,1279746240000,N/A,1484,N/A,,N/A,[],people,people
N/A,good,good,good,2,15588456,8,,awesome,5,HIS294,Brilliant. I would take any other class she teaches.,03/31/2009,4.0,4.0,,5,Sorta interested,5.0,5.0,1,Yes,1238494877000,N/A,1484,N/A,,N/A,[],people,people
N/A,poor,poor,poor,13,13307329,0,,awful,1,HISTSECT,Horrible experience- pretends to know more than she does. Do not know how she managed to get this job.Her ego knows no bounds.,07/03/2007,1.0,1.0,,1,Really into it,1.0,1.0,1,Yes,1183455914000,N/A,1484,N/A,,N/A,[],people,people
Mandatory,poor,poor,poor,10,3984722,1,,awful,1,HIS,Egotastic!,06/10/2005,1.0,1.0,,1,Really into it,1.0,1.0,1,N/A,1118415491000,N/A,1484,N/A,,P,[],person,people
N/A,good,average,good,1,3817547,9,,awesome,5,HIS,"had her as a prof for 3 courses so I can say that I believe her to be one of the best profs at uoft. She challenges you but at the end of it all, you know that you earned your marks. I was able to get A'S in her classes which were the hardest marks I have ever had to earn.",05/09/2005,3.0,3.0,,5,It's my life,5.0,5.0,1,N/A,1115641612000,N/A,1484,N/A,,N/A,[],people,person
N/A,good,good,good,0,3333986,10,,awesome,5,CARIBBEANHIST,Newton is the best prof I have ever had.Her course was amazing and she is so helpful.Lectures are well organized and she maintains student interest.She's a tough marker but if you do your work you'll be rewarded. Thanks to her I'm getting into Caribbean history.DEFINATELY recommended!,02/08/2005,4.0,4.0,,5,Really into it,5.0,5.0,1,N/A,1107852492000,N/A,1484,N/A,,N/A,[],people,people
