attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,average,good,0,32210804,0,,awesome,5,ENGB37,Very encouraging for students to participate in lecture discourse.,09/03/2019,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1567522349000,Yes,4919,Yes,,A,"['Get ready to read', 'EXTRA CREDIT', 'Amazing lectures']",people,people
Mandatory,good,average,good,0,32084359,0,,awesome,5,ENGB37,She is absolutely the sweetest. She cares about all her students and does everything she can to help you succeed. She makes her classes very interesting and engaging. I definitely recommend taking a course with her.,07/08/2019,2.0,2.0,,5,N/A,5.0,5.0,1,No,1562621331000,Yes,4919,Yes,,A,"['Amazing lectures', 'Inspirational', 'Gives good feedback']",people,people
Mandatory,good,average,good,0,30963735,0,,awesome,5,ENGC22,"One of the best English professors at UTSC and my personal favorite. Such a caring, intelligent, respectful person! Her text choices are always great and she knows so much about each of them. She's very encouraging and creates a great atmosphere for discussion. Go to every lecture, you'll get so much out of them. Also has great fashion sense.",12/11/2018,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1544532628000,Yes,4919,Yes,,N/A,"['Respected', 'Caring', 'Accessible outside class']",people,people
N/A,good,good,good,1,18532318,0,,awesome,5,ENG4947,"Professor Bolus-Reichert is extremely knowledgeable and has so much to give to students. She also encourages discussion and has a charitable attitude towards all student class input. Having said that, she is a remarkable scholar and has high expectations from students. It's well worth working hard for her. Good place to improve writing.",05/05/2011,4.0,4.0,,5,Sorta interested,5.0,5.0,1,No,1304590177000,N/A,4919,N/A,,N/A,[],people,person
N/A,good,good,good,0,17306188,2,,awesome,5,ENG000,hot,06/05/2010,4.0,4.0,,5,Sorta interested,5.0,5.0,1,Yes,1275756145000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,good,0,14576939,1,,awesome,5,VICLI35,....,06/11/2008,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1213222737000,N/A,4919,N/A,,N/A,[],person,people
N/A,good,average,good,1,14040980,0,,awesome,5,ALOT,Definitely one of the best proffs at UTSC.... love her!!!,01/24/2008,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1201213796000,N/A,4919,N/A,,N/A,[],people,person
N/A,good,average,good,2,12554999,0,,awesome,4,ENG69,"Okay seriously, yes it did take her long to hand back our papers, but let's keep in mind that she had THREE 'C' level courses which were overflowing, and only 1 TA. Give the lady a break. And to boot, she extended the due dates for the 2nd papers because the 1st one was late in coming bk. She is great, I would love to take another course with her!",12/08/2006,3.0,3.0,,5,It's my life,4.5,4.5,1,Yes,1165610851000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,poor,good,0,11831407,0,,awesome,5,ENGC42,No Comments,05/05/2006,1.0,1.0,,5,It's my life,5.0,5.0,1,N/A,1146851715000,N/A,4919,N/A,,N/A,[],people,people
N/A,average,good,average,0,11801832,0,,poor,2,ENGC42,"is terrible for handing back essays, it takes her months to give back a paper even if the next paper requires development on a prior one. for the final exam, the review file was just the syllabus with stars next to some poems, 37 of them! this class would have been great, but not with this prof.  and participation was worth 15%.  no skipping.",05/02/2006,4.0,4.0,,2,It's my life,2.0,2.0,1,N/A,1146530994000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,poor,good,1,11610365,0,,awesome,5,SEVERAL,"i absolutely agree! i LOVE this professor... she is genuine, encouraging, and extremely knowledgable! i hope she got tenure, because i don't know anyone else more worthy at this point. she's my fave prof!",03/24/2006,1.0,1.0,,5,It's my life,5.0,5.0,1,N/A,1143225998000,N/A,4919,N/A,,N/A,[],people,person
N/A,good,average,good,0,11534445,0,,awesome,4,ENGC22,"I love this professor. She's very sweet, grades fairly, and tries her best to encourage student input and discussion. She's one of those professors who you feel has endless knowledge...",03/02/2006,3.0,3.0,,5,Low,4.5,4.5,1,N/A,1141297477000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,average,good,0,11496987,0,,awesome,5,ENGC22,"This is one of my favourite profs! She's so adorable, but more importantly she is a really good lecturer. She knows her stuff and I always leave the class having learned something. LOVE HER!!",02/18/2006,3.0,3.0,,5,Really into it,5.0,5.0,1,N/A,1140304929000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,average,good,0,11458224,0,,good,4,ENGC21,Good.,02/06/2006,3.0,3.0,,4,It's my life,4.0,4.0,1,N/A,1139231411000,N/A,4919,N/A,,N/A,[],people,people
N/A,average,good,average,0,11397635,0,,average,3,ENGC21,"She is an alright prof. What I love about her is that she really tries to get to know her students. She does favour some students above others, but she is a fair marker.",01/20/2006,4.0,4.0,,3,Sorta interested,3.0,3.0,1,N/A,1137793851000,N/A,4919,N/A,,N/A,[],people,people
Mandatory,good,average,good,0,10902920,0,,awesome,5,ENGC14,"she's a genuine prof, think about it...",11/14/2005,2.0,2.0,,5,It's my life,5.0,5.0,1,N/A,1131993430000,N/A,4919,N/A,,B+,[],people,people
N/A,good,poor,good,0,3460550,0,,good,4,ENGC14,"Bolus-Reichert is one of the most knowledgeable and intelligent profs at UTSC. I leave lectures feeling like I've learned something VALUABLE... she truly makes me feel as if there is purpose in studying English. Also, she's a great marker - and i am definitely not one of her favourites...",03/15/2005,1.0,1.0,,4,Really into it,4.0,4.0,1,N/A,1110915247000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,average,0,1978902,0,,average,4,ENGC20,"Totally agree with the comment on favouritism.  She marks according to her to a set of personal criteria, whatever they may be, which are apparently only known to the students she knows.  Not very open to new ideas, in terms of essay writing that is.",04/17/2004,4.0,4.0,,2,N/A,3.0,3.0,1,N/A,1082210290000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,good,0,1918718,0,,awesome,5,ROMANTICS,"Professor Bolus-Reichert is a great prof! She is super smart and very interesting to listen to!  She encourages her students to think creatively and uniquely, and grades fairly based on these crtieria.  And, she's really nice! Great Prof!!!",04/07/2004,4.0,4.0,,5,N/A,5.0,5.0,1,N/A,1081360769000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,average,0,1839074,0,,good,4,ENGC20,"Nice lady, but tough marker.  And, does show favourtism to students she knows.  If I could do it all over again, I would not take any classes with her.",03/23/2004,4.0,4.0,,3,N/A,3.5,3.5,1,N/A,1080074577000,N/A,4919,N/A,,N/A,[],people,people
