attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,good,average,0,29058510,0,,poor,2,PSYC05,He is extremely disorganized and tends to give assignments past the deadline for the last day to submit course work for the semester. He basically reads off the slides during lecture and vaguely explains concepts. He breezes through examples of how to do data analysis for the assignments and doesn't teach on most of the material on them.,12/06/2017,4.0,4.0,,2,N/A,2.0,2.0,1,No,1512524602000,No,4919,Yes,,N/A,[],people,people
Mandatory,good,good,average,2,25754832,2,,good,4,PSYC05C26B20,Dr. Schmuckler is a gifted lecturer he has a way explaining concepts in a clear and interesting manner.  I have taken 3 of his courses; would have taken more if my schedule allowed. Is his exams hard? Yes but if you take good notes during lecture and study you will do well. Contact the TA if you need help with assignments.,12/18/2015,4.0,4.0,,3,Really into it,3.5,3.5,1,Yes,1450398269000,Yes,4919,Yes,,A,"['Tough grader', 'Get ready to read']",people,people
Not Mandatory,poor,good,poor,0,23866282,3,,awful,1,PSYC05H3,"Absolutely horrendous at teaching.  Literally reads off the Slide. Has no concept of what the students actually know and therfore progresses at a breakneck pace. The course focus on human movements role in psychology; by the end of it you will realize it has no place in psychology, the guy is deluding himself. But why would he care? He gets paid",11/20/2014,5.0,5.0,,1,Really into it,1.0,1.0,1,No,1416519848000,N/A,4919,Yes,,A+,[],people,people
Mandatory,average,good,average,0,22746303,1,,average,3,PSYC56,Horrible. Horrible assignments and horrible exams.,01/13/2014,5.0,5.0,,3,Really into it,3.0,3.0,1,Yes,1389643557000,N/A,4919,N/A,,A,[],person,people
N/A,good,good,good,2,20772576,0,,good,5,PSYC56,"i dont know why ppl have bad comments; hes intelligent, a great presenter, and lets you get your grades in exams or assignments - the assignments are SO easy and are pretty much ""give me"" marks - exams are very challenging - but like any other course, do the work and it pays off - i think the people saying bad things failed. lol",11/03/2012,4.0,4.0,,3,Meh,4.0,4.0,1,Yes,1351956990000,N/A,4919,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,20691241,2,,poor,1,PSYC56,I don't know if this guy is kidding or what but most of the material he wants in assignments wasn't even touched upon in class. Expects complex excel work without ever explaining how to do any of it and the readings have nothing to do with the assignments. He can be funny sometimes but he's pretty boring otherwise. Wouldn't recommend taking it.,10/10/2012,5.0,5.0,,2,Really into it,1.5,1.5,1,No,1349875584000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,average,average,0,20556642,1,,average,5,PSYB21,"it is true, do not email him. dont understand why he has an email and does not reply. go to his office hours and if he is in a good mood u are in luck, he will be helpful then. his exams was not particularly hard but you need to pay attention in class and the text.",08/08/2012,2.0,2.0,,1,Really into it,3.0,3.0,1,Yes,1344445267000,N/A,4919,N/A,,N/A,[],person,people
N/A,average,average,average,1,20192054,2,,average,3,PSYC26,"Did well, but really don't like this professor and course. Purposely uses MC for exams to be more difficult. Never responds to emails. And the smile in lecture is a fake; he doesn't really care about students.",05/03/2012,3.0,3.0,,2,Meh,2.5,2.5,1,Yes,1336081734000,N/A,4919,N/A,,N/A,[],people,person
N/A,good,good,average,0,19935927,1,,average,4,PSYC26,"Let's just say if you value your GPA, stay away from this. From a genuine ""want to learn"" PoV, this 1 is basically a clone of PSYB07, which you'd think is useless, pointless, and easy. You're in for a surprise. The tests are 100% written answers, asking you to write down every detail of everything you've learned. Needless to say, average was ugly.",03/22/2012,5.0,5.0,,1,Low,2.5,2.5,1,Yes,1332379029000,N/A,4919,N/A,,N/A,[],person,people
N/A,good,good,good,1,19729901,1,,good,4,PSYC56,"read description before taking this class with him - it may not be what you think - you're not listening to songs. gotta go to lectures, theyre important. exams are challenging, very low average (52% for midterm). Both midterm and final are SA, with each being 6-12 pts. A lot of info to understand for both exams. He's a great prof nonetheless.",01/15/2012,4.0,4.0,,4,Really into it,4.0,4.0,1,Yes,1326664159000,N/A,4919,N/A,,N/A,[],person,person
N/A,good,average,average,0,19270431,1,,good,4,PSYB20,he's cool,11/17/2011,3.0,3.0,,3,Really into it,3.5,3.5,1,Yes,1321564357000,N/A,4919,N/A,,N/A,[],person,people
N/A,average,good,poor,1,19239260,0,,poor,2,PSYB20,"AWFUL EXPERIENCE! He never replies to emails;wrote the textbook so forget about getting it from the library, this man will makesure you buy it. His website is outdated, and lec slides sometimes don't work.  His lec. are interesting but long; exams are 70% txt 30% lec. Very disappointed,other profs are much better, hes smart but i didnt like that i emailed him twice and no reply",11/15/2011,5.0,5.0,,1,Really into it,1.5,1.5,1,Yes,1321321119000,N/A,4919,N/A,,N/A,[],people,person
N/A,good,good,good,0,18358701,1,,awesome,5,PSYB20,Good prof.,04/05/2011,5.0,5.0,,5,It's my life,5.0,5.0,1,Yes,1302009144000,N/A,4919,N/A,,N/A,[],person,people
N/A,good,good,good,0,17330300,0,,awesome,5,PSYB20,"He is one of the most engaging, intersting, and thought-provoking professors. However, the literal memorization of the course is required since the MC will have different wordings for almost identital meaning. Expect some conflict with TA's after the exam(A-)",06/13/2010,4.0,4.0,,5,Really into it,5.0,5.0,1,Yes,1276423663000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,good,0,16940894,0,,good,4,PSYB20,"Very interesting course, and talented prof. Funny and kept classes interesting. Exams are difficult, mostly (70%)text book based. You should take lots of notes, especially about the studies he talks about that aren't on the slides, as these are the things he's likely to test you on. If you study well and attend classes you will do fine (got an A-).",04/02/2010,4.0,4.0,,4,Really into it,4.0,4.0,1,Yes,1270168959000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,good,0,16459936,0,,awesome,5,PSYB20,"He's a good lecturer, but his exams are quite difficult. Avg for PSYB20 midterm was 60, but he added 6% to everyone's score. highest was 45/50. Exams are mainly focused on textbook, with around 20-30% lectured materials. Should know the text and lecture inside-out for an &quot;A-&quot;, and should know how to apply concepts effectively for a 4.0GPA",12/03/2009,5.0,5.0,,4,Really into it,4.5,4.5,1,Yes,1259805362000,N/A,4919,N/A,,N/A,[],people,people
N/A,good,good,average,0,16426480,0,,good,5,PSYB20,/,11/25/2009,5.0,5.0,,2,It's my life,3.5,3.5,1,Yes,1259117096000,N/A,4919,N/A,,N/A,[],people,people
