attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,1,28664492,7,,awesome,5,HIS330,"Great prof! His love for Latin American history will inspire you! He's very knowledgeable, very insightful, his seminar- approach to lectures is awesome although I means he will call on you. Overall superb prof! Taken 3 of his classes, I'm in love !!!",09/08/2017,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1504829845000,Yes,4928,Yes,,B,"['Get ready to read', 'Inspirational', 'Gives good feedback']",people,person
N/A,poor,good,poor,12,28054890,1,,awful,1,HIS330,"Doesn't give a lot of time for assignements, assignes very long readings for each week, doesn't give clear instruction on how to complete assignments, doesn't give any background information. Gave a reading about a revolution for one week with no background information then explained it doesn't give good feedback, very stressful",04/15/2017,5.0,5.0,,1,N/A,1.0,1.0,3,Yes,1492274701000,No,4928,Yes,,N/A,"['Tough grader', 'Get ready to read']",person,people
Mandatory,poor,good,poor,13,27965154,3,,awful,1,HIS330,"Incredibly long readings (60 or more pages) , doesn't explain concepts, gives readings about a topic and then explains the readings afterwards, originally readings don't make sense, doesn't give any background information on a topic, expects you to know more about Latin America but course has no prerequistes.",03/29/2017,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1490800700000,No,4928,Yes,,N/A,"['Graded by few things', 'Get ready to read', 'Tough grader']",people,people
Mandatory,good,average,good,5,27938359,13,,awesome,5,HIS330,By far the best history professor at UTM. His lectures are easy to understand and very inspirational.,03/23/2017,2.0,2.0,,5,N/A,5.0,5.0,1,Yes,1490273469000,Yes,4928,Yes,,N/A,"['Amazing lectures', 'Inspirational', 'Clear grading criteria']",people,people
Mandatory,good,average,good,3,27873528,12,,good,4,HIS330,"Great prof, engaging lecture, really knows how to explain concepts and ideas to you not just ""lectures down"" to you, but engages the class and allows discussion of the readings and explains concepts through discussion and examples. Can get boring at times, but overall really great class and really great prof !",03/02/2017,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1488486001000,Yes,4928,Yes,,B+,"['Gives good feedback', 'Amazing lectures', 'Graded by few things']",people,people
Mandatory,average,good,average,13,27738893,4,,poor,2,HIS330,"The readings were incredibly long, boring and didn't make sense if you don't know Latin American or American history, doesn't give good feedback or explains what he wants for response papers, glad i dropped the course it was too much stress",01/16/2017,5.0,5.0,,2,N/A,2.0,2.0,3,Yes,1484596267000,No,4928,Yes,,N/A,"['Get ready to read', 'Tough grader']",people,people
Mandatory,good,poor,good,2,26031484,10,,awesome,5,HIS494,"Professor Coleman is hands down my favourite Professor at UTM. One of the only classes I was actually learned from. Do the readings before his classes and you will be successful. Such a sweetheart, very approachable and extremely fair marker.   All the best, Sheri",02/05/2016,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1454669543000,N/A,4928,Yes,,B+,"['Inspirational', 'Caring', 'Get ready to read']",people,people
Mandatory,good,poor,good,2,25002007,11,,awesome,5,HIS377H5,"Coleman made this subject exciting, when I dreaded having to take the class at first. READ. The classes are better because he expects discussion, this is the only way to dive into the topic and understand it. It's easy if you take the class seriously-and NO TESTS! Awesome. ",06/28/2015,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1435508072000,Yes,4928,Yes,,A,"['Amazing lectures', 'Caring']",people,people
Mandatory,good,poor,good,2,23786413,9,,awesome,5,HIS330,"Very engaging and knowledgeable about the subject, exactly what makes an epic professor!",11/11/2014,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1415707640000,Yes,4928,Yes,,N/A,"['Respected', 'Amazing lectures']",people,people
Mandatory,good,poor,good,2,23786377,10,,awesome,5,HIS290,"If you want a professor who is truly passionate about the subject, and someone who will really teach you stuff then 1010 would recommend ",11/11/2014,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1415707396000,N/A,4928,Yes,,A+,"['Lots of homework', 'Amazing lectures', 'Respected']",people,people
Mandatory,good,poor,good,2,23082603,10,,awesome,5,HIS494,"He is really understanding and he cares a lot about his students. Reading the materials will get you far since the class is all about engagement & discussion. Make sure to take his 400-level course! He's the best prof, in my opinion.",04/23/2014,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1398249281000,N/A,4928,N/A,,A+,[],people,people
N/A,good,poor,good,2,21915805,10,,awesome,5,HIS330,Coleman works constantly towards making material easy to understand while nurturing the abilities of students. He sees the best in students and believes everyone can do their best. If you honestly try he will recognize and reward you. Doesn't make it hard to do very well. Not enough people realize they should take his Latin American courses.,06/22/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1371940471000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,poor,good,2,21396160,10,,awesome,5,HIS290H5,Favourite Professor! He is understanding and really seeks the best interest of his students.,03/08/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1362751833000,N/A,4928,N/A,,N/A,[],people,people
