attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,poor,good,0,31225816,0,,awesome,5,SOC444,"One of my absolute favourite profs at UTM. She's so kind and makes herself available to students as much as possible. She's very encouraging and supportive as well, especially during tough times such as presentation days! Finally, her feedback for assignments is incredibly valuable. Go Neda!!",01/08/2019,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1546985758000,Yes,4928,Yes,,A,"['Hilarious', 'Inspirational', 'Participation matters']",people,people
Not Mandatory,good,poor,good,2,30828147,0,,awesome,5,SOC230,She is the nicest Professor ever!! She truly cares about her students and wants us to do well. Her lectures are very interesting and engaging! would definitely take a class with her again,11/30/2018,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1543603235000,Yes,4928,Yes,,N/A,"['Amazing lectures', 'Caring', 'Respected']",people,people
N/A,good,average,good,2,28982815,0,,awesome,5,SOC221,She is simply amazing! Fantastic professor who is very engaging and her lecturers are super interesting. She's very down to earth and really cares about her students. She is truly a gem and we're lucky to have her at UTM!,11/28/2017,3.0,3.0,,5,N/A,5.0,5.0,1,Yes,1511905315000,Yes,4928,Yes,,N/A,"['Inspirational', 'Amazing lectures', 'Caring']",people,people
Not Mandatory,good,poor,good,2,28335537,0,,awesome,5,SOC221,Neda is a fantastic professor. Her lectures are very engaging despite the fact that she's teaching a required course about very boring subject matter. She speaks in a way that gets through to people our age. She is incredibly approachable and I would definitely love to work with her again!,05/17/2017,1.0,1.0,,5,N/A,5.0,5.0,1,No,1495049491000,Yes,4928,Yes,,A+,"['Hilarious', 'Inspirational', 'Caring']",people,people
Not Mandatory,good,average,good,1,28028564,0,,good,4,SOC221,"Prof. Maghbouleh is very kind. We use a new textbook for SOC221 this year and its even easier. Exams are fairly easy, mostly multiple choices and some fill in the blanks. Simply show up to her class to listen to her case studies - they will appear in the exam as fill in the blanks. Don't forget to read the textbook. TAs grade very fairly.",04/11/2017,2.0,2.0,,4,N/A,4.0,4.0,1,Yes,1491883235000,Yes,4928,Yes,,N/A,"['Respected', 'Get ready to read', 'Caring']",people,person
Mandatory,good,poor,good,2,27939080,0,,awesome,5,SOC221,Easy class.  Very enthusiastic and caring professor. You would find another prof so passionate about research and so happy to help students,03/23/2017,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1490280845000,Yes,4928,Yes,,B,"['Respected', 'Clear grading criteria', 'Caring']",people,people
Not Mandatory,good,average,good,2,27074640,0,,good,4,SOC221,"Take 221 with Prof Neda you won't regret it. Her ""behind the senes"" case studies make the class enjoyable and the exams are straight forward",10/25/2016,3.0,3.0,,4,N/A,4.0,4.0,1,Yes,1477387417000,Yes,4928,Yes,,B-,"['Accessible outside class', 'Caring', ""Skip class? You won't pass.""]",people,people
Not Mandatory,good,average,good,3,26746990,0,,good,4,SOC221,"Neda Maghbouleh is a young prof, who is in touch with current affairs. She seems to really enjoy teaching and tries to bring life to dull content. I like her case studies - they were the most interesting. She is super sweet and approachable. I would definitely take her again.",06/22/2016,3.0,3.0,,4,N/A,4.0,4.0,1,No,1466554039000,Yes,4928,Yes,,B-,"['Respected', 'Clear grading criteria', 'Caring']",people,people
Not Mandatory,good,poor,good,2,26360388,0,,awesome,5,SOC221,"Gerat professor, You have to buy the textbook, take 221 with her you won't regret it",04/23/2016,1.0,1.0,,5,N/A,5.0,5.0,1,Yes,1461404984000,Yes,4928,Yes,,N/A,"['Tough grader', 'Respected']",people,people
Mandatory,good,average,good,3,26204250,0,,awesome,5,SOC375,"One of the best sociologists profs I have ever had!!! Her lectures are so interesting, because the materials she uses are so current and it's something that you can contribute too even if you didn't do the reading. Her assignments are so different, it isn't just a regular essay, you have to use your imagination. which is very rare at university.",03/30/2016,2.0,2.0,,4,N/A,4.5,4.5,1,Yes,1459346414000,N/A,4928,Yes,,A,"['Hilarious', 'Amazing lectures', 'EXTRA CREDIT']",people,people
