attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,average,average,good,0,22710028,0,,good,3,STAB52,"the course is not that hard, really, and he is very patient and helpful in his office hour. but the problem is provides so few resources students can work with. the appendix in textbook contains only the answer(not solution) of odd number questions. that is it! that is the resources students typically have to study for this course.",01/07/2014,2.0,2.0,,5,It's my life,4.0,4.0,1,Yes,1389068093000,N/A,4928,N/A,,A,[],people,people
N/A,good,average,good,0,18728979,0,,good,4,STAB22,Funny guy,06/14/2011,3.0,3.0,,4,Meh,4.0,4.0,1,Yes,1308013175000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,good,average,0,18259367,0,,average,2,STAC62,"He's an extremely helpful teacher, however he honestly can't teach. He gets confused by the material himself and leaves his students even more lost. He's a great person, just not a good teacher sadky",03/08/2011,4.0,4.0,,3,Sorta interested,2.5,2.5,3,No,1299625658000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,average,average,0,11371303,0,,poor,2,STA107,"what&#63; ...hot&#63;!! He used lecture notes of another prof, and sometimes admitted that he himself didn't understand the examples in the notes, but wrote them on the board anyway!! o_0",01/16/2006,3.0,3.0,,2,Sorta interested,2.0,2.0,1,N/A,1137432011000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,good,average,0,3890569,0,,poor,2,STA107,No Comments,05/19/2005,4.0,4.0,,2,Sorta interested,2.0,2.0,1,N/A,1116509827000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,poor,good,0,3137021,0,,awesome,5,STATS,No Comments,12/31/2004,1.0,1.0,,5,It's my life,5.0,5.0,1,N/A,1104524628000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,2908345,1,,awesome,5,STA107,"Damn he used to encourage me to go to class, now I miss him as our prof",12/04/2004,2.0,2.0,,5,Low,5.0,5.0,1,N/A,1102176492000,N/A,4928,N/A,,N/A,[],person,people
N/A,good,average,good,0,1983078,0,,good,4,STA107,"You're just too good to be true, can't take my eyes off of you...",04/18/2004,2.0,2.0,,4,N/A,4.0,4.0,1,N/A,1082313861000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,poor,good,0,1953894,0,,awesome,5,STA107,he is so damn hot.. he makes us want to go to class cos he is so damn hot and he makes class interesting... too badd he has a fiance... he is very encouraging... i luv him,04/14/2004,1.0,1.0,,5,N/A,5.0,5.0,1,N/A,1081902266000,N/A,4928,N/A,,N/A,[],people,people
N/A,good,average,good,0,1913611,0,,good,4,STA107,"He is funny, and he is a definitely a sweetheart!",04/06/2004,3.0,3.0,,4,N/A,4.0,4.0,1,N/A,1081292343000,N/A,4928,N/A,,N/A,[],people,people
N/A,average,good,average,0,1905146,0,,average,3,STA107,"If you can't attend every lecture, take good notes, and review over every single word in your notes then you will get screwed on the midterms.  Half the midterm is on lecture (no website), no where to be found in book/homework.",04/05/2004,5.0,5.0,,2,N/A,2.5,2.5,1,N/A,1081198302000,N/A,4928,N/A,,N/A,[],people,people
Mandatory,good,good,good,0,1876617,0,,awesome,5,STA107,"Even though h'es very clear, his tests are REALLY hard which will screw you up for the whole semister. He assumes we know a lot, takes his class, but even ended up giving test questions taken from a book we never heard about. NEVER TRUST HIM, HE LIES A LO",03/31/2004,5.0,5.0,,5,N/A,5.0,5.0,1,N/A,1080744204000,N/A,4928,N/A,,A-,[],people,people
